review_id,product_id,user_id,review_content,stars,post_date
1,218,175,デザインが美しく、機能的です。,4,2023-08-10 00:46:49
2,100,20,配送が遅れましたが、製品自体は良好です。,1,2022-01-06 21:22:43
3,54,201,素晴らしい製品でした！,5,2023-06-24 08:32:06
4,208,263,配送が遅れましたが、製品自体は良好です。,3,2021-03-06 11:38:07
5,256,466,素晴らしい製品でした！,4,2022-02-18 17:11:04
6,153,380,もう少し安ければ完璧です。,3,2021-12-20 23:02:42
7,294,138,使い方が難しいです。,1,2022-08-03 00:47:36
8,34,190,残念ながら期待はずれでした。,1,2021-04-18 12:11:31
9,65,494,色が写真と異なりました。,2,2022-01-30 01:48:44
10,258,239,もう少し安ければ完璧です。,2,2023-06-11 19:06:29
11,144,376,色が写真と異なりました。,3,2023-11-25 16:24:42
12,164,86,価格に見合う価値があります。,5,2023-04-02 11:18:02
13,169,96,価格に見合う価値があります。,5,2021-08-14 03:03:07
14,21,413,素晴らしい製品でした！,5,2022-11-16 05:59:06
15,72,106,使い方が難しいです。,2,2022-01-27 04:50:03
16,237,324,使い方が難しいです。,3,2022-07-04 05:12:51
17,121,458,配送が遅れましたが、製品自体は良好です。,2,2023-03-26 01:05:09
18,211,404,配送が遅れましたが、製品自体は良好です。,2,2022-06-04 16:25:54
19,149,42,デザインが美しく、機能的です。,4,2023-11-24 09:31:45
20,208,71,色が写真と異なりました。,1,2023-10-03 08:07:34
21,121,335,使い心地が良いです。,5,2022-06-21 22:51:13
22,116,152,使い心地が良いです。,5,2023-12-24 16:19:34
23,76,321,使い心地が良いです。,4,2022-03-18 07:25:52
24,1,19,配送が遅れましたが、製品自体は良好です。,2,2023-10-29 19:23:17
25,122,207,素晴らしい製品でした！,4,2023-10-15 07:19:43
26,48,5,デザインが美しく、機能的です。,4,2021-05-17 21:34:35
27,97,155,色が写真と異なりました。,3,2023-11-01 14:26:19
28,21,299,期待以上の性能で大満足です。,5,2022-07-12 18:53:29
29,292,151,デザインが美しく、機能的です。,4,2023-02-17 10:55:53
30,51,3,使い心地が良いです。,5,2021-06-17 06:41:11
31,202,284,素晴らしい製品でした！,5,2022-12-23 00:14:54
32,84,118,価格に見合う価値があります。,5,2021-04-26 18:01:57
33,17,57,期待以上の性能で大満足です。,5,2022-01-06 06:44:46
34,114,98,配送が遅れましたが、製品自体は良好です。,3,2023-07-11 10:57:02
35,292,232,デザインが美しく、機能的です。,4,2023-11-20 12:19:05
36,73,274,価格に見合う価値があります。,5,2021-02-22 15:10:57
37,98,199,使い心地が良いです。,4,2022-09-16 07:06:49
38,134,14,色が写真と異なりました。,1,2023-11-30 01:53:50
39,142,374,配送が遅れましたが、製品自体は良好です。,2,2023-09-02 03:21:07
40,275,97,デザインが美しく、機能的です。,4,2022-07-03 23:16:02
41,27,205,素晴らしい製品でした！,4,2022-06-25 10:09:06
42,123,263,使い方が難しいです。,2,2022-08-19 19:28:25
43,123,414,デザインが美しく、機能的です。,5,2023-11-03 15:27:12
44,180,62,使い心地が良いです。,4,2022-07-29 04:57:39
45,205,417,残念ながら期待はずれでした。,1,2022-11-29 22:34:50
46,208,463,色が写真と異なりました。,1,2023-11-04 01:22:45
47,163,269,もう少し安ければ完璧です。,2,2022-05-16 01:35:58
48,202,62,色が写真と異なりました。,2,2023-03-10 22:22:12
49,37,70,色が写真と異なりました。,3,2023-08-19 23:19:08
50,257,436,素晴らしい製品でした！,5,2023-10-11 21:52:57
51,234,267,使い心地が良いです。,4,2022-08-25 00:38:14
52,51,242,期待以上の性能で大満足です。,5,2021-07-05 21:00:14
53,226,133,期待以上の性能で大満足です。,4,2021-03-15 20:24:02
54,149,362,価格に見合う価値があります。,5,2021-06-16 19:00:55
55,286,92,配送が遅れましたが、製品自体は良好です。,3,2021-02-10 22:56:11
56,94,192,使い方が難しいです。,1,2022-08-23 10:11:37
57,43,270,期待以上の性能で大満足です。,5,2021-01-17 10:52:33
58,100,143,配送が遅れましたが、製品自体は良好です。,2,2021-05-28 10:26:43
59,112,44,使い方が難しいです。,2,2021-09-16 08:37:47
60,236,80,使い方が難しいです。,2,2021-10-09 04:30:50
61,110,325,色が写真と異なりました。,1,2023-07-07 09:31:30
62,271,195,もう少し安ければ完璧です。,1,2022-03-17 06:38:46
63,176,33,使い心地が良いです。,5,2022-05-23 06:15:28
64,181,343,価格に見合う価値があります。,5,2021-05-10 20:43:55
65,262,356,配送が遅れましたが、製品自体は良好です。,2,2021-06-11 01:49:00
66,103,150,デザインが美しく、機能的です。,4,2022-02-05 20:47:58
67,217,441,期待以上の性能で大満足です。,4,2023-01-06 06:17:45
68,118,376,価格に見合う価値があります。,4,2023-04-17 00:43:41
69,88,71,使い方が難しいです。,1,2022-11-02 01:23:12
70,257,200,期待以上の性能で大満足です。,4,2021-12-01 20:39:18
71,114,204,残念ながら期待はずれでした。,1,2021-02-02 04:18:52
